--- PHASE 2 LINE-BY-LINE PROCESSING LOG ---
Input PDF: E0CCG5S312.pdf
Heading Font Threshold: >= 10.0pt
Potential Heading Fonts: [24.0, 18.0, 16.0, 14.0, 12.0]
Noise Fonts: [6.0]
-------------------------------------------
Page 1   | Font: 24.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, LargeFont, VS_PASSED(A:172.8,B:110.8), IND_PASSED(Diff:136.3), F2_PASSED | Text: 'Foundation Level Extensions'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'wants a deeper understanding of software testing in the A...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'managers, software development managers, business analyst...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'consultants.'
Page 7   | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:25.5,B:7.8), IND_PASSED(Diff:0.0), F2_PASSED | Text: '2.2 Career Paths for Testers'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Building on the Foundation Level, the Agile Tester Extens...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'professional testers. A person with the Agile Tester cert...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'testing acquired at the Foundation Level to enable him or...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'an Agile project.'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'People possessing an ISTQB Foundation Level Extension –Ag...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Tester Foundation Level acronym CTFL-AT.'
Page 7   | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:25.5,B:7.8), IND_PASSED(Diff:0.0), F2_PASSED | Text: '2.3 Learning Objectives'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'In general, the Foundation Level syllabus is examinable a...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'remember and recall terms and concepts stated in the Foun...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'In addition, all Foundation Level syllabus learning objec...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'extension exam.'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 7 of 12'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 7   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 8   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications Board'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'That said, each extension level exam focuses on the learn...'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'syllabus. The relevant learning objectives at K1, K2, and...'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'chapter within each particular extension syllabus.'
Page 8   | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:14.0,B:7.8), IND_PASSED(Diff:0.0), F2_PASSED | Text: '2.4 Entry Requirements'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'To be able to participate in a Foundation Level Extension...'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'obtained the ISTQB Foundation Level certificate.'
Page 8   | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:14.0,B:7.9), IND_PASSED(Diff:0.0), F2_PASSED | Text: '2.5 Structure and Course Duration'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The Foundation Level Extension –Agile Tester syllabus has...'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level syllabus.'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The syllabi must be taught in the following minimum numbe...'
Page 8   | Font: 10.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:156.3), F2_PASSED | Text: 'Syllabus'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_PASSED, Style, VS_FAILED(A:-11.1,B:7.0), IND_FAILED(Diff:-156.3), F2_FAILED | Text: 'Days'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Baseline: Foundation'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Extension: Agile Tester'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The following figure shows the structure of the Agile Tes...'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level.'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 8 of 12'
Page 8   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 8   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 9   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications Board'
Page 9   | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:61.2,B:7.8), IND_PASSED(Diff:0.0), F2_PASSED | Text: '2.6 Keeping It Current'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The software industry changes rapidly. To deal with these...'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'access to relevant and current information, the ISTQB wor...'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'www.istqb.org web site which refer to supporting document...'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'in the industry. This information is not examinable under...'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 9 of 12'
Page 9   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 9   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 10  | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications Board'
Page 10  | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:47.1,B:0.7), IND_PASSED(Diff:36.0), F2_PASSED | Text: '3. Overview of the Foundation Level Extension –Agile Tester'
Page 10  | Font: 16.0 pt | Status: SKIPPED   | Filters: F1_PASSED, Style, LargeFont, VS_FAILED(A:0.7,B:31.8), IND_FAILED(Diff:-36.0), F2_FAILED | Text: 'Syllabus'
Page 10  | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:31.8,B:7.8), IND_PASSED(Diff:0.0), F2_PASSED | Text: '3.1 Business Outcomes'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'This section lists the Business Outcomes expected of a ca...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Extension –Agile Tester certification.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'An Agile Tester can…'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'AFM1'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Collaborate in a cross-functional Agile team being famili...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'practices of Agile software development.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'AFM2'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Adapt existing testing experience and knowledge to Agile ...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'AFM3'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Support the Agile team in planning test-related activities.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'AFM4'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Apply relevant methods and techniques for testing in an A...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'AFM5'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Assist the Agile team in test automation activities.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'AFM6'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Assist business stakeholders in defining understandable a...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'scenarios, requirements and acceptance criteria as approp...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'AFM7'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Work and share information with other team members using ...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'styles and channels.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'In general, a Certified Tester Foundation Level –Agile Te...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'skills to working effectively within an Agile team and en...'
Page 10  | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:25.5,B:7.9), IND_PASSED(Diff:0.0), F2_PASSED | Text: '3.2 Content'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Chapter 1: Agile Software Development'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should remember the basic concept of Agile sof...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Manifesto.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should understand the advantages of the whole-...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'early and frequent feedback.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should recall Agile software development appro...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to write testable user stories ...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'business representatives.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should understand how retrospectives can be us...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'improvement in Agile projects.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should understand the use and purpose of conti...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should know the differences between iteration ...'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'adds value in each of these activities.'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 10 of 12'
Page 10  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 10  | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 11  | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Board'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Chapter 2: Fundamental Agile Testing Principles, Practice...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to describe the differences bet...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'and non-Agile projects.'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to describe how development and...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Agile projects.'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to describe the role of indepen...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to describe the tools and techn...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'testing in an Agile project, including test progress and ...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to describe the process of evol...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'explain why test automation is important to manage regres...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should understand the skills (people, domain, ...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to understand the role of a tes...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Chapter 3: Agile Testing Methods, Techniques, and Tools'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to recall the concepts of test-...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'driven development, and behavior-driven development.'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to recall the concepts of the t...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to summarize the testing quadra...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'levels and testing types.'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'For a given Agile project, the tester should be able to w...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to assess quality risks within ...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to estimate testing effort base...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to interpret relevant informati...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to explain to business stakehol...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'criteria.'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Given a user story, the tester should be able to write ac...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'cases.'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'For both functional and non-functional behavior, the test...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'black box test design techniques based on given user stor...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to perform exploratory testing ...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The tester should be able to recall different tools avail...'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'and to activities in Agile projects.'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 11 of 12'
Page 11  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 11  | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 12  | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications Board'
Page 12  | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:50.2,B:30.6), IND_PASSED(Diff:0.0), F2_PASSED | Text: '4. References'
Page 12  | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:30.6,B:7.8), IND_PASSED(Diff:0.0), F2_PASSED | Text: '4.1 Trademarks'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The following registered trademarks and service marks are...'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'ISTQB® is a registered trademark of the International Sof...'
Page 12  | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:25.4,B:7.7), IND_PASSED(Diff:5.4), F2_PASSED | Text: '4.2 Documents and Web Sites'
Page 12  | Font: 10.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:117.0), F2_PASSED | Text: 'Identifier'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_PASSED, Style, VS_FAILED(A:-11.1,B:3.5), IND_FAILED(Diff:-117.0), F2_FAILED | Text: 'Reference'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '[ISTQB-Web]'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Web site of the International Software Testing Qualificat...'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'to this website for the latest ISTQB Glossary and Syllabi...'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 12 of 12'
Page 12  | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 12  | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
